index, x, y
400, 14, 38
401, 15, 38
402, 16, 38
403, 17, 38
404, 18, 38
405, 19, 38
406, 20, 38
407, 21, 38
408, 22, 38
409, 23, 38
410, 24, 38
411, 25, 38
412, 26, 38
413, 27, 38
414, 28, 38
415, 29, 38
416, 30, 38
417, 31, 38
418, 32, 38
419, 33, 38
420, 34, 38
421, 35, 38
422, 36, 38
423, 37, 38
424, 38, 38
425, 39, 38
426, 40, 38
427, 0, 37
428, 1, 37
429, 2, 37
430, 3, 37
431, 4, 37
432, 5, 37
433, 6, 37
434, 7, 37
435, 8, 37
436, 9, 37
437, 10, 37
438, 11, 37
439, 12, 37
440, 13, 37
441, 14, 37
442, 15, 37
443, 16, 37
444, 17, 37
445, 18, 37
446, 19, 37
447, 20, 37
448, 21, 37
449, 22, 37
450, 23, 37
451, 24, 37
452, 25, 37
453, 26, 37
454, 27, 37
455, 28, 37
456, 29, 37
457, 30, 37
458, 31, 37
459, 32, 37
460, 33, 37
461, 34, 37
462, 35, 37
463, 36, 37
464, 37, 37
465, 38, 37
466, 39, 37
467, 40, 37
468, 41, 37
469, 0, 36
470, 1, 36
471, 2, 36
472, 3, 36
473, 4, 36
474, 5, 36
475, 6, 36
476, 7, 36
477, 8, 36
478, 9, 36
479, 10, 36
480, 11, 36
481, 12, 36
482, 13, 36
483, 14, 36
484, 15, 36
485, 16, 36
486, 17, 36
487, 18, 36
488, 19, 36
489, 20, 36
490, 21, 36
491, 22, 36
492, 23, 36
493, 24, 36
494, 25, 36
495, 26, 36
496, 27, 36
497, 28, 36
498, 29, 36
499, 30, 36
500, 31, 36
501, 32, 36
502, 33, 36
503, 34, 36
504, 35, 36
505, 36, 36
506, 37, 36
507, 38, 36
508, 39, 36
509, 40, 36
510, 41, 36
511, 42, 36
512, 0, 35
513, 1, 35
514, 2, 35
515, 3, 35
516, 4, 35
517, 5, 35
518, 6, 35
519, 7, 35
520, 8, 35
521, 9, 35
522, 10, 35
523, 11, 35
524, 12, 35
525, 13, 35
526, 14, 35
527, 15, 35
528, 16, 35
529, 17, 35
530, 18, 35
531, 19, 35
532, 20, 35
533, 21, 35
534, 22, 35
535, 23, 35
536, 24, 35
537, 25, 35
538, 26, 35
539, 27, 35
540, 28, 35
541, 29, 35
542, 30, 35
543, 31, 35
544, 32, 35
545, 33, 35
546, 34, 35
547, 35, 35
548, 36, 35
549, 37, 35
550, 38, 35
551, 39, 35
552, 40, 35
553, 41, 35
554, 42, 35
555, 43, 35
556, 0, 34
557, 1, 34
558, 2, 34
559, 3, 34
560, 4, 34
561, 5, 34
562, 6, 34
563, 7, 34
564, 8, 34
565, 9, 34
566, 10, 34
567, 11, 34
568, 12, 34
569, 13, 34
570, 14, 34
571, 15, 34
572, 16, 34
573, 17, 34
574, 18, 34
575, 19, 34
576, 20, 34
577, 21, 34
578, 22, 34
579, 23, 34
580, 24, 34
581, 25, 34
582, 26, 34
583, 27, 34
584, 28, 34
585, 29, 34
586, 30, 34
587, 31, 34
588, 32, 34
589, 33, 34
590, 34, 34
591, 35, 34
592, 36, 34
593, 37, 34
594, 38, 34
595, 39, 34
596, 40, 34
597, 41, 34
598, 42, 34
599, 43, 34
600, 44, 34
601, 0, 33
602, 1, 33
603, 2, 33
604, 3, 33
605, 4, 33
606, 5, 33
607, 6, 33
