index, temperature
164, 45.4489583362
165, 50.618517916
166, 55.8053444835
167, 61.0140134905
168, 66.2492786356
169, 71.5161133497
170, 76.8197555036
171, 82.1657558338
172, 87.5600304591
173, 93.0089175966
174, 98.5192380703
175, 104.098358245
176, 109.754252274
177, 115.495557439
178, 121.331610825
179, 127.272445874
180, 133.328710343
181, 139.511437684
182, 145.831553651
183, 152.298917032
184, 158.920565231
185, 165.697662338
186, 172.620488243
187, 179.660896256
188, 186.762637274
189, 193.833026747
190, 200.74560575
191, 207.368479136
192, 213.615798647
193, 219.458452589
194, 224.908536892
195, 230.0
196, 30.0
197, 35.1188793778
198, 40.2417611073
199, 45.3726759227
200, 50.5157116027
201, 55.6750421804
202, 60.8549579463
203, 66.0598964431
204, 71.2944745744
205, 76.5635218185
206, 81.8721143172
207, 87.2256092587
208, 92.6296783881
209, 98.0903385456
210, 103.613975619
211, 109.207355865
212, 114.87761465
213, 120.632206424
214, 126.478789848
215, 132.425006456
216, 138.478087553
217, 144.644189232
218, 150.927308505
219, 157.32758044
220, 163.838723765
221, 170.444464631
222, 177.114087708
223, 183.798109119
224, 190.426656463
225, 196.914945834
226, 203.179440246
227, 209.159478064
228, 214.825665472
229, 220.175694978
230, 225.225339663
231, 230.0
232, 30.0
233, 35.0897575764
234, 40.1832593999
235, 45.2842726447
236, 50.3966103915
237, 55.5241546891
238, 60.6708796713
239, 65.8408746159
240, 71.0383666865
241, 76.2677428787
242, 81.5335703579
243, 86.8406138705
244, 92.1938481513
245, 97.5984621049
246, 103.059849821
247, 108.583580918
248, 114.17533887
249, 119.840810375
250, 125.585500637
251, 131.414438082
252, 137.331716839
253, 143.33980722
254, 149.438547315
255, 155.623724261
256, 161.885187649
257, 168.204558808
258, 174.552880825
259, 180.88905503
260, 187.160544153
261, 193.308080878
262, 199.274857951
263, 205.017007892
264, 210.509036255
265, 215.743237886
266, 220.725663673
267, 225.471307611
268, 230.0
269, 30.0
270, 35.0568915279
271, 40.1172462713
272, 45.1845448645
273, 50.2623026296
274, 55.3540865133
275, 60.4635314339
276, 65.5943556627
277, 70.7503746768
278, 75.935512652
279, 81.1538103653
280, 86.4094277141
281, 91.7066382419
282, 97.0498119012
283, 102.443380644
284, 107.891779114
285, 113.399349538
286, 118.970195567
287, 124.607964244
288, 130.315528396
289, 136.0945345
290, 141.944775493
291, 147.863349275
292, 153.843581639
293, 159.873743763
294, 165.935702128
295, 172.003821755
296, 178.044686022
297, 184.01838424
298, 189.881975574
299, 195.594902787
300, 201.124659298
301, 206.45023377
302, 211.562556637
303, 216.462769534
304, 221.159566769
305, 225.666541928
306, 230.0
307, 30.0
308, 35.0205622638
309, 40.0442892929
310, 45.0743579124
311, 50.1139687492
312, 55.1663573005
313, 60.2348038884
314, 65.322641924
315, 70.4332637062
316, 75.5701226872
317, 80.736730737
318, 85.9366483788
319, 91.1734652008
320, 96.4507666146
321, 101.772081738
322, 107.140805357
323, 112.5600846
324, 118.032658113
325, 123.560632376
326, 129.145176757
327, 134.786117273
328, 140.481410979
329, 146.226492654
330, 152.013509255
331, 157.830503637
332, 163.660684185
333, 169.482018046
334, 175.267483064
335, 180.986331212
336, 186.60653439
337, 192.098118326
338, 197.436492741
339, 202.604682891
340, 207.593985359
341, 212.403291058
342, 217.037648002
343, 221.506600942
344, 225.822652758
345, 230.0
346, 30.0
347, 34.9810682343
348, 39.9649907242
349, 44.954628743
350, 49.9528571542
351, 54.9625700513
352, 59.986684895
353, 65.0281444388
354, 70.0899155369
355, 75.1749836536
356, 80.2863415168
357, 85.4269698632
358, 90.5998075679
359, 95.8077076186
360, 101.053374336
361, 106.339275977
362, 111.667525391
363, 117.03971991
364, 122.456730389
365, 127.918428982
366, 133.423346855
367, 138.968258494
368, 144.547701108
369, 150.153459089
370, 155.774077345
371, 161.394512929
372, 166.99608318
373, 172.556896976
374, 178.052923152
375, 183.45971245
376, 188.754543385
377, 193.91851045
378, 198.938019693
379, 203.80541085
380, 208.518761335
381, 213.081133241
382, 217.499561079
383, 221.784010091
384, 225.946436946
385, 230.0
386, 30.0
387, 34.9387199492
388, 39.8799766265
389, 44.8263091813
390, 49.7802610732
391, 54.7443808554
392, 59.7212212017
393, 64.7133353993
394, 69.7232703489
395, 74.7535548733
396, 79.8066818136
397, 84.8850819891
398, 89.9910875891
399, 95.1268819558
400, 100.294432011
401, 105.495398823
402, 110.731021077
403, 116.001965746
404, 121.308140289
405, 126.648461928
406, 132.020582671
407, 137.420575036
408, 142.842594193
409, 148.27854865
410, 153.717833725
411, 159.147207005
412, 164.55090477
413, 169.911098507
414, 175.208751972
415, 180.424848872
416, 185.541832314
417, 190.544985982
418, 195.423474582
419, 200.170877014
420, 204.785210191
421, 209.268562549
422, 213.626500041
423, 217.867389581
424, 222.001737694
425, 226.041590703
426, 230.0
427, 30.0
428, 34.8938349361
429, 39.7898866512
430, 44.6903702824
431, 49.5974971019
432, 54.5134710953
433, 59.4404836572
434, 64.3807056076
435, 69.3362755861
436, 74.3092836772
437, 79.3017488753
438, 84.3155886905
439, 89.3525788435
440, 94.4143006042
441, 99.5020729309
442, 104.616866226
443, 109.759194348
444, 114.928981707
445, 120.125403094
446, 125.346695772
447, 130.589946863
448, 135.850864784
449, 141.12355198
450, 146.400307591
451, 151.6715019
452, 156.925576597
453, 162.149230386
454, 167.32784031
455, 172.446137357
456, 177.489098751
457, 182.442951016
458, 187.296126583
459, 192.040015637
460, 196.669412433
461, 201.182639865
462, 205.581406725
463, 209.870486954
464, 214.057310497
465, 218.151533545
466, 222.164625119
467, 226.109475172
468, 230.0
469, 30.0
470, 34.8467331441
471, 39.6953647597
472, 44.5477881953
473, 49.4058859567
474, 54.2715227669
475, 59.146536724
476, 64.032727788
477, 68.9318427107
478, 73.845555374
479, 78.7754413197
480, 83.7229450541
481, 88.6893384903
482, 93.6756686864
483, 98.6826928822
484, 103.710798802
485, 108.759908381
486, 113.829363641
487, 118.917794608
488, 124.022971201
489, 129.141644226
490, 134.269385258
491, 139.400441353
492, 144.527627834
493, 149.642289688
494, 154.734367097
495, 159.792599868
496, 164.804894991
497, 169.758858394
498, 174.64245776
499, 179.444746418
500, 184.156553695
501, 188.771048951
502, 193.284117216
503, 197.694530112
504, 202.00393753
505, 206.216730554
506, 210.339831908
507, 214.382460871
508, 218.355901054
509, 222.273275569
510, 226.149306241
511, 230.0
512, 30.0
513, 34.7977328805
514, 39.5970510484
515, 44.3995317825
516, 49.2067357626
517, 54.0201972916
518, 58.841412684
519, 63.6718261095
520, 68.5128120949
521, 73.3656537885
522, 78.2315159755
523, 83.1114117159
524, 88.0061613772
525, 92.9163427689
526, 97.8422311093
527, 102.783727719
528, 107.740276734
529, 112.710769868
530, 117.693440496
